User,Lat,Lng,Sent,Arrived
publisher1,67.20565314783649,-7.276568896530357,1435204372788,1435204372790
publisher1,67.20565311339242,-7.276569110958278,1435204373791,1435204373793
publisher1,67.20565307894833,-7.276569325386199,1435204374794,1435204374797
publisher1,67.20565301006015,-7.276569754242038,1435204376800,1435204376805
publisher1,67.20565304450426,-7.27656953981412,1435204375794,1435204376806
publisher1,67.20565297561608,-7.276569968669957,1435204377803,1435204377806
publisher1,67.205652941172,-7.276570183097876,1435204378806,1435204378809
publisher1,67.20565290672792,-7.276570397525793,1435204379809,1435204379812
publisher1,67.20565283783975,-7.276570826381628,1435204381822,1435204381824
publisher1,67.20565287228384,-7.27657061195371,1435204380815,1435204381826
publisher1,67.20565280339567,-7.276571040809544,1435204382823,1435204382826
publisher1,67.20565276895158,-7.276571255237459,1435204383830,1435204383833
publisher1,67.2056527345075,-7.276571469665374,1435204384833,1435204384834
publisher1,67.20565266561934,-7.276571898521202,1435204386845,1435204386847
publisher1,67.20565270006342,-7.2765716840932875,1435204385838,1435204386850
publisher1,67.20565263117525,-7.276572112949114,1435204387850,1435204387853
publisher1,67.20565259673118,-7.276572327377027,1435204388853,1435204388856
publisher1,67.20565256228707,-7.276572541804938,1435204389856,1435204389859
publisher1,67.2056524933989,-7.27657297066076,1435204391862,1435204391865
publisher1,67.20565252784299,-7.27657275623285,1435204390860,1435204391867
publisher1,67.20565245895483,-7.276573185088671,1435204392866,1435204392869
publisher1,67.20565242451072,-7.276573399516578,1435204393869,1435204393871
publisher1,67.20565239006663,-7.276573613944487,1435204394874,1435204394877
publisher1,67.20565232117846,-7.276574042800303,1435204396885,1435204396888
publisher1,67.20565235562255,-7.2765738283723955,1435204395879,1435204396892
publisher1,67.20565228673436,-7.276574257228209,1435204397891,1435204397894
publisher1,67.20565225229028,-7.276574471656115,1435204398898,1435204398900
publisher1,67.20565221784621,-7.276574686084022,1435204399901,1435204399904
publisher1,67.20565214895801,-7.27657511493983,1435204401915,1435204401918
publisher1,67.20565218340212,-7.276574900511926,1435204400907,1435204401923
publisher1,67.20565211451392,-7.276575329367733,1435204402921,1435204402924
publisher1,67.20565208006983,-7.276575543795638,1435204403924,1435204403926
publisher1,67.20565204562575,-7.276575758223539,1435204404930,1435204404933
publisher1,67.20565197673757,-7.276576187079342,1435204406940,1435204406941
publisher1,67.20565201118167,-7.276575972651442,1435204405937,1435204406943
publisher1,67.20565194229349,-7.276576401507244,1435204407945,1435204407948
publisher1,67.20565190784939,-7.276576615935143,1435204408948,1435204408952
publisher1,67.2056518734053,-7.276576830363043,1435204409954,1435204409957
publisher1,67.2056518045171,-7.27657725921884,1435204411957,1435204411961
publisher1,67.2056518389612,-7.276577044790941,1435204410956,1435204411962
publisher1,67.20565177007302,-7.2765774736467375,1435204412961,1435204412964
publisher1,67.20565173562893,-7.276577688074634,1435204413963,1435204413979
publisher1,67.20565170118482,-7.276577902502531,1435204414966,1435204414970
publisher1,67.20565163229665,-7.276578331358321,1435204416973,1435204416975
publisher1,67.20565166674074,-7.276578116930426,1435204415969,1435204416979
publisher1,67.20565159785257,-7.276578545786216,1435204417976,1435204417979
publisher1,67.20565156340844,-7.276578760214109,1435204418978,1435204418981
publisher1,67.20565152896435,-7.276578974642002,1435204419982,1435204419984
publisher1,67.20565146007618,-7.276579403497788,1435204421988,1435204421990
publisher1,67.20565149452024,-7.2765791890698965,1435204420984,1435204421992
publisher1,67.20565142563208,-7.276579617925679,1435204422993,1435204422996
publisher1,67.20565139118798,-7.27657983235357,1435204424000,1435204424005
publisher1,67.20565135674387,-7.2765800467814605,1435204425007,1435204425017
publisher1,67.20565132229977,-7.27658026120935,1435204426013,1435204429035
